,name,abbreviation,mascot,wins,losses,conference_name
0,Abilene Christian,ACU,Wildcats,16.0,18.0,Western Athletic Conference
1,Air Force,AF,Falcons,9.0,22.0,Mountain West Conference
2,Akron,AKRN,Zips,24.0,11.0,Mid-American Conference
3,Alabama,BAMA,Crimson Tide,25.0,12.0,Southeastern Conference
4,Alabama A&M,AAMU,Bulldogs,12.0,23.0,Southwestern Athletic Conference
5,Alabama State,ALST,Hornets,13.0,19.0,Southwestern Athletic Conference
6,Albany,ALBY,Great Danes,8.0,23.0,America East Conference
7,Alcorn State,ALCN,Braves,14.0,18.0,Southwestern Athletic Conference
8,American University,AMER,Eagles,16.0,16.0,Patriot League
9,Appalachian State,APP,Mountaineers,27.0,7.0,Sun Belt Conference
10,Arizona,ARIZ,Wildcats,27.0,9.0,Big 12 Conference
11,Arizona State,ARST,Sun Devils,14.0,18.0,Big 12 Conference
12,Arkansas,ARK,Razorbacks,16.0,17.0,Southeastern Conference
13,Arkansas State,ARKS,Red Wolves,20.0,17.0,Sun Belt Conference
14,Arkansas-Pine Bluff,ARPB,Golde Lions,13.0,18.0,Southwestern Athletic Conference
15,Army,ARMY,Black Knights,10.0,22.0,Patriot League
16,Auburn,AUB,Tigers,27.0,8.0,Southeastern Conference
17,Austin Peay,PEAY,Governors,19.0,16.0,ASUN Conference
18,Ball State,BALL,Cardinals,15.0,16.0,Mid-American Conference
19,Baylor,BAY,Bears,24.0,11.0,Big 12 Conference
20,Bellarmine,BELL,Knights,8.0,23.0,ASUN Conference
21,Belmont,BEL,Bruins,20.0,13.0,Missouri Valley Conference
22,Bethune-Cookman,COOK,Wildcats,17.0,17.0,Southwestern Athletic Conference
23,Binghamton,BING,Bearcats,15.0,15.0,America East Conference
24,Boise State,BOISE,Broncos,22.0,11.0,Mountain West Conference
25,Boston College,BC,Eagles,20.0,16.0,Atlantic Coast Conference
26,Boston Univ.,BU,Terriers,16.0,17.0,Patriot League
27,Bowling Green,BG,Falcons,20.0,14.0,Mid-American Conference
28,Bradley,BRAD,Braves,23.0,12.0,Missouri Valley Conference
29,Brown,BRWN,Bears,13.0,18.0,Ivy League
30,Bryant,BRY,Bulldogs,20.0,13.0,America East Conference
31,Bucknell,BUCK,Bison,14.0,19.0,Patriot League
32,Buffalo,BUF,Bulls,4.0,27.0,Mid-American Conference
33,Butler,BUT,Bulldogs,18.0,15.0,Big East Conference
34,BYU,BYU,Cougars,23.0,11.0,Big 12 Conference
35,Cal Irvine,UCI,Anteaters,24.0,10.0,Big West Conference
